kew_internal_concept_db,kew_internal_concept_id,kingdom,phylum,h_class,h_order,family,genus,species,infraspecific_type,infraspecific_description,author,taxonomic_status,med_ref_count,med_ref_count_for_synonyms,confidence_level,unii,kew_internal_species_concept_identifier,kew_internal_name_identifier
wcs,108059,Plantae,Angiospermae,Eudicots,Lamiales,Verbenaceae,Lantana,grisebachii,,,Stuck. ex Seckt,Accepted,1,0,H,,,
wcs,108071,Plantae,Angiospermae,Eudicots,Lamiales,Verbenaceae,Lantana,hirsuta,,,M.Martens & Galeotti,Accepted,1,0,H,,,30032194-2
wcs,108095,Plantae,Angiospermae,Eudicots,Lamiales,Verbenaceae,Lantana,indica,,,Roxb.,Accepted,1,0,H,,,863312-1
wcs,108098,Plantae,Angiospermae,Eudicots,Lamiales,Verbenaceae,Lantana,involucrata,,,L.,Accepted,1,0,H,,,135206-2
wcs,108156,Plantae,Angiospermae,Eudicots,Lamiales,Verbenaceae,Lantana,megapotamica,,,(Spreng.) Tronc.,Accepted,1,0,H,,,
wcs,108181,Plantae,Angiospermae,Eudicots,Lamiales,Verbenaceae,Lantana,montevidensis,,,(Spreng.) Briq.,Accepted,1,1,H,,,
wcs,108234,Plantae,Angiospermae,Eudicots,Lamiales,Verbenaceae,Lantana,radula,,,Sw.,Accepted,2,0,H,,,863411-1
wcs,108255,Plantae,Angiospermae,Eudicots,Lamiales,Verbenaceae,Lantana,rugosa,,,Thunb.,Accepted,2,1,H,,,863429-1
wcs,108312,Plantae,Angiospermae,Eudicots,Lamiales,Verbenaceae,Lantana,trifolia,,,L.,Accepted,4,2,H,,,135333-2
wcs,108330,Plantae,Angiospermae,Eudicots,Lamiales,Verbenaceae,Lantana,ukambensis,,,(Vatke) Verdc.,Accepted,0,1,H,,,
wcs,108423,Plantae,Angiospermae,monocots,Alismatales,Araceae,Lasia,spinosa,,,(L.) Thwaites,Accepted,1,1,H,4EAZ3P81ZR,,87418-1
wcs,108491,Plantae,Angiospermae,Eudicots,Gentianales,Rubiaceae,Lasianthus,chrysoneurus,,,(Korth.) Miq.,Accepted,0,1,H,,,
wcs,108847,Plantae,Angiospermae,monocots,Alismatales,Araceae,Lasimorpha,senegalensis,,,Schott,Accepted,0,1,H,,,
