POLYMER_CLASS	POLYMER_GEOMETRY	POLYMER_SUBCLASS
COPOLYMER	LINEAR	"[{""label"":""GInAS Subclass"",""term"":""DOUBLE STRANDED""}]"
COPOLYMER	BRANCHED	"[{""label"":""GInAS Subclass"",""term"":""HEAD-TAIL""}]"
COPOLYMER	RANDOM	[]
COPOLYMER	BRANCHED	"[{""label"":""GInAS Subclass"",""term"":""CROSSLINKED""},{""label"":""GInAS Subclass"",""term"":""RANDOM""}]"
HOMOPOLYMER	LINEAR	"[{""label"":""GInAS Subclass"",""term"":""CROSSLINKED""}]"
COPOLYMER		[]
COPOLYMER	NET WORK	"[{""label"":""GInAS Subclass"",""term"":""RANDOM""}]"
COPOLYMER	CROSS LINKED	"[{""label"":""GInAS Subclass"",""term"":""RANDOM""}]"
"HOMOPOLYMER, SUBSTITUTED"	"BRANCHED, CROSSLINKED"	[]
HOMOPOLYMER	NETWORK	"[{""label"":""GInAS Subclass"",""term"":""CROSSLINKED""}]"
COPOLYMER	BRANCHED	"[{""label"":""GInAS Subclass"",""term"":""Other""},{""label"":""GInAS Subclass"",""term"":""dendrimer""}]"
COPOLYMER	CYCLIC	"[{""label"":""GInAS Subclass"",""term"":""RANDOM""}]"
COPOLYMER	LINEAR	"[{""label"":""GInAS Subclass"",""term"":""DOUBLE-STRANDED""}]"
COPOLYMER	LINEAR	"[{""label"":""GInAS Subclass"",""term"":""CROSSLINKED""}]"
COPOLYMER	NETWORK	"[{""label"":""GInAS Subclass"",""term"":""BLOCK""},{""label"":""GInAS Subclass"",""term"":""RANDOM""}]"
COPOLYMER	LINEAR	"[{""label"":""GInAS Subclass"",""term"":""Other""},{""label"":""GInAS Subclass"",""term"":""ALTERNATING""}]"
COPOLYMER	LINEAR	"[{""label"":""GInAS Subclass"",""term"":""Alternating-copolymer""}]"
COPOLYMER	BRANCHED	"[{""label"":""GInAS Subclass"",""term"":""CROSSLINKED""}]"
	BRANCHED	[]
HOMOPOLYMER		"[{""label"":""GInAS Subclass"",""term"":""CROSSLINKED""}]"
HOMOPOLYMER	BRANCHED	"[{""label"":""GInAS Subclass"",""term"":""CROSSLINKED""}]"
HOMOPOLYMER	BRANCHED	"[{""label"":""GInAS Subclass"",""term"":""BLOCK""}]"
COPOLYMER	Cross linked 	[]
